          // seed 111
0000 c000 lbi r0, 0 // icount 0
0002 c101 lbi r1, 1 // icount 1
0004 c2ff lbi r2, -1 // icount 2
0006 c40a lbi r4, 10 // icount 3
0008 20f4 j .rlabel_0 // icount 4
000a dc58 add r6, r4, r2 // icount 5
5f0e d22d sll r3, r2, r1 // icount 12167
5f10 fd10 sco r4, r5, r0 // icount 12168
5f12 dca2 xor r0, r4, r5 // icount 12169
5f14 d8d7 andn r5, r0, r6 // icount 12170
5f16 f164 sle r1, r1, r3 // icount 12171
5f18      .rlabel_321:
5f18 20aa j .rlabel_322 // icount 12172
5f1a d8aa xor r2, r0, r5 // icount 12173
5f1c e4a0 seq r0, r4, r5 // icount 12174
5f1e f1a8 sle r2, r1, r5 // icount 12175
5f20 ddcd sub r3, r5, r6 // icount 12176
5f22 d87f andn r7, r0, r3 // icount 12177
5f24 ddcc add r3, r5, r6 // icount 12178
5f26 d9af andn r3, r1, r5 // icount 12179
5f28 d159 sll r6, r1, r2 // icount 12180
5f2a df91 sub r4, r7, r4 // icount 12181
5f2c f50c sle r3, r5, r0 // icount 12182
5f2e deff andn r7, r6, r7 // icount 12183
5f30 e3c0 seq r0, r3, r6 // icount 12184
5f32 d16a ror r2, r1, r3 // icount 12185
5f34 d30d sll r3, r3, r0 // icount 12186
5f36 e440 seq r0, r4, r2 // icount 12187
5f38 e6d4 seq r5, r6, r6 // icount 12188
5f3a d3a9 sll r2, r3, r5 // icount 12189
5f3c fbb8 sco r6, r3, r5 // icount 12190
5f3e ec7c slt r7, r4, r3 // icount 12191
5f40 def8 add r6, r6, r7 // icount 12192
5f42 d071 sll r4, r0, r3 // icount 12193
5f44 d55b srl r6, r5, r2 // icount 12194
5f46 f7a0 sle r0, r7, r5 // icount 12195
5f48 da00 add r0, r2, r0 // icount 12196
5f4a db7c add r7, r3, r3 // icount 12197
5f4c fe60 sco r0, r6, r3 // icount 12198
5f4e de8c add r3, r6, r4 // icount 12199
5f50 dec2 xor r0, r6, r6 // icount 12200
5f52 ff6c sco r3, r7, r3 // icount 12201
5f54 ff4c sco r3, r7, r2 // icount 12202
5f56 fde4 sco r1, r5, r7 // icount 12203
5f58 d44e ror r3, r4, r2 // icount 12204
5f5a f014 sle r5, r0, r0 // icount 12205
5f5c d832 xor r4, r0, r1 // icount 12206
5f5e d616 ror r5, r6, r0 // icount 12207
5f60 dc5d sub r7, r4, r2 // icount 12208
5f62 eccc slt r3, r4, r6 // icount 12209
5f64 df3d sub r7, r7, r1 // icount 12210
5f66 d431 sll r4, r4, r1 // icount 12211
5f68 ebc0 slt r0, r3, r6 // icount 12212
5f6a deca xor r2, r6, r6 // icount 12213
5f6c e1c4 seq r1, r1, r6 // icount 12214
5f6e dfb7 andn r5, r7, r5 // icount 12215
5f70 dfa3 andn r0, r7, r5 // icount 12216
5f72 d931 sub r4, r1, r1 // icount 12217
5f74 d057 srl r5, r0, r2 // icount 12218
5f76 dd2a xor r2, r5, r1 // icount 12219
5f78 dd64 add r1, r5, r3 // icount 12220
5f7a d87f andn r7, r0, r3 // icount 12221
5f7c d8f2 xor r4, r0, r7 // icount 12222
5f7e dcec add r3, r4, r7 // icount 12223
5f80 d35a ror r6, r3, r2 // icount 12224
5f82 f9f4 sco r5, r1, r7 // icount 12225
5f84 d6a5 sll r1, r6, r5 // icount 12226
5f86 dac0 add r0, r2, r6 // icount 12227
5f88 db1b andn r6, r3, r0 // icount 12228
5f8a d9c5 sub r1, r1, r6 // icount 12229
5f8c e118 seq r6, r1, r0 // icount 12230
5f8e d832 xor r4, r0, r1 // icount 12231
5f90 dae3 andn r0, r2, r7 // icount 12232
5f92 d78b srl r2, r7, r4 // icount 12233
5f94 dafa xor r6, r2, r7 // icount 12234
5f96 e154 seq r5, r1, r2 // icount 12235
5f98 d204 rol r1, r2, r0 // icount 12236
5f9a d03d sll r7, r0, r1 // icount 12237
5f9c d7ce ror r3, r7, r6 // icount 12238
5f9e e800 slt r0, r0, r0 // icount 12239
5fa0 de04 add r1, r6, r0 // icount 12240
5fa2 df23 andn r0, r7, r1 // icount 12241
5fa4 e428 seq r2, r4, r1 // icount 12242
5fa6 db43 andn r0, r3, r2 // icount 12243
5fa8 d48b srl r2, r4, r4 // icount 12244
5faa fc14 sco r5, r4, r0 // icount 12245
5fac fc50 sco r4, r4, r2 // icount 12246
5fae e884 slt r1, r0, r4 // icount 12247
5fb0 da2f andn r3, r2, r1 // icount 12248
5fb2 d704 rol r1, r7, r0 // icount 12249
5fb4 dabe xor r7, r2, r5 // icount 12250
5fb6 d5c4 rol r1, r5, r6 // icount 12251
5fb8 df2f andn r3, r7, r1 // icount 12252
5fba f640 sle r0, r6, r2 // icount 12253
5fbc d278 rol r6, r2, r3 // icount 12254
5fbe f0fc sle r7, r0, r7 // icount 12255
5fc0 fa24 sco r1, r2, r1 // icount 12256
5fc2 f22c sle r3, r2, r1 // icount 12257
5fc4      .rlabel_322:
5fc4 6918 bnez r1, .rlabel_323 // icount 12258
5fc6 dbc6 xor r1, r3, r6 // icount 12259
5fc8 d49b srl r6, r4, r4 // icount 12260
5fca e5c4 seq r1, r5, r6 // icount 12261
5fcc d60a ror r2, r6, r0 // icount 12262
5fce ddfa xor r6, r5, r7 // icount 12263
5fd0 ec34 slt r5, r4, r1 // icount 12264
5fd2 d103 srl r0, r1, r0 // icount 12265
5fd4 e050 seq r4, r0, r2 // icount 12266
5fd6 e118 seq r6, r1, r0 // icount 12267
5fd8 d23d sll r7, r2, r1 // icount 12268
5fda d189 sll r2, r1, r4 // icount 12269
5fdc d47e ror r7, r4, r3 // icount 12270
5fde      .rlabel_323:
5fde 7b00 bgez r3, .rlabel_324 // icount 12271
5fe0      .rlabel_324:
5fe0 2020 j .rlabel_325 // icount 12272
5fe2 d288 rol r2, r2, r4 // icount 12273
5fe4 d66f srl r3, r6, r3 // icount 12274
5fe6 df40 add r0, r7, r2 // icount 12275
5fe8 dc84 add r1, r4, r4 // icount 12276
5fea d925 sub r1, r1, r1 // icount 12277
5fec d031 sll r4, r0, r1 // icount 12278
5fee efe0 slt r0, r7, r7 // icount 12279
5ff0 d5ca ror r2, r5, r6 // icount 12280
5ff2 da4b andn r2, r2, r2 // icount 12281
5ff4 d9df andn r7, r1, r6 // icount 12282
5ff6 df57 andn r5, r7, r2 // icount 12283
5ff8 d59a ror r6, r5, r4 // icount 12284
5ffa dd7d sub r7, r5, r3 // icount 12285
5ffc d119 sll r6, r1, r0 // icount 12286
5ffe df28 add r2, r7, r1 // icount 12287
6000 dcc4 add r1, r4, r6 // icount 12288
6002      .rlabel_325:
6002 6912 bnez r1, .rlabel_326 // icount 12289
6004 f4bc sle r7, r4, r5 // icount 12290
6006 fc94 sco r5, r4, r4 // icount 12291
6008 f1c0 sle r0, r1, r6 // icount 12292
600a da0e xor r3, r2, r0 // icount 12293
600c db72 xor r4, r3, r3 // icount 12294
600e f138 sle r6, r1, r1 // icount 12295
6010 d69a ror r6, r6, r4 // icount 12296
6012 d087 srl r1, r0, r4 // icount 12297
6014 e8e4 slt r1, r0, r7 // icount 12298
6016      .rlabel_326:
6016 7b1a bgez r3, .rlabel_327 // icount 12299
6018 e33c seq r7, r3, r1 // icount 12300
601a df93 andn r4, r7, r4 // icount 12301
601c d820 add r0, r0, r1 // icount 12302
601e d31a ror r6, r3, r0 // icount 12303
6020 dd68 add r2, r5, r3 // icount 12304
6022 da30 add r4, r2, r1 // icount 12305
6024 e62c seq r3, r6, r1 // icount 12306
6026 d828 add r2, r0, r1 // icount 12307
6028 d9cd sub r3, r1, r6 // icount 12308
602a fd88 sco r2, r5, r4 // icount 12309
602c de99 sub r6, r6, r4 // icount 12310
602e d1a9 sll r2, r1, r5 // icount 12311
6030 daf2 xor r4, r2, r7 // icount 12312
6032      .rlabel_327:
6032 3048 jal .rlabel_328 // icount 12313
6034 d40b srl r2, r4, r0 // icount 12314
6036 df7f andn r7, r7, r3 // icount 12315
6038 fac4 sco r1, r2, r6 // icount 12316
603a dcd0 add r4, r4, r6 // icount 12317
603c dd26 xor r1, r5, r1 // icount 12318
603e d0fe ror r7, r0, r7 // icount 12319
6040 dbec add r3, r3, r7 // icount 12320
6042 e808 slt r2, r0, r0 // icount 12321
6044 fd5c sco r7, r5, r2 // icount 12322
6046 ddc1 sub r0, r5, r6 // icount 12323
6048 ed1c slt r7, r5, r0 // icount 12324
604a e004 seq r1, r0, r0 // icount 12325
604c d7aa ror r2, r7, r5 // icount 12326
604e de4f andn r3, r6, r2 // icount 12327
6050 df3c add r7, r7, r1 // icount 12328
6052 e4b8 seq r6, r4, r5 // icount 12329
6054 d2af srl r3, r2, r5 // icount 12330
6056 df4b andn r2, r7, r2 // icount 12331
6058 d42c rol r3, r4, r1 // icount 12332
605a d2db srl r6, r2, r6 // icount 12333
605c d2b3 srl r4, r2, r5 // icount 12334
605e db1a xor r6, r3, r0 // icount 12335
6060 d44d sll r3, r4, r2 // icount 12336
6062 d3c1 sll r0, r3, r6 // icount 12337
6064 de90 add r4, r6, r4 // icount 12338
6066 d4b7 srl r5, r4, r5 // icount 12339
6068 dd36 xor r5, r5, r1 // icount 12340
606a d05d sll r7, r0, r2 // icount 12341
606c dada xor r6, r2, r6 // icount 12342
606e f040 sle r0, r0, r2 // icount 12343
6070 f30c sle r3, r3, r0 // icount 12344
6072 d554 rol r5, r5, r2 // icount 12345
6074 dc3a xor r6, r4, r1 // icount 12346
6076 d57d sll r7, r5, r3 // icount 12347
6078 de5b andn r6, r6, r2 // icount 12348
607a d94b andn r2, r1, r2 // icount 12349
607c      .rlabel_328:
607c 2036 j .rlabel_329 // icount 12350
607e fd74 sco r5, r5, r3 // icount 12351
6080 fa0c sco r3, r2, r0 // icount 12352
6082 e7e8 seq r2, r7, r7 // icount 12353
6084 da26 xor r1, r2, r1 // icount 12354
6086 e3a8 seq r2, r3, r5 // icount 12355
6088 d989 sub r2, r1, r4 // icount 12356
608a d45d sll r7, r4, r2 // icount 12357
608c d4c4 rol r1, r4, r6 // icount 12358
608e ed84 slt r1, r5, r4 // icount 12359
6090 fd58 sco r6, r5, r2 // icount 12360
6092 f270 sle r4, r2, r3 // icount 12361
6094 ddf1 sub r4, r5, r7 // icount 12362
6096 fd8c sco r3, r5, r4 // icount 12363
6098 f160 sle r0, r1, r3 // icount 12364
609a da82 xor r0, r2, r4 // icount 12365
609c fde4 sco r1, r5, r7 // icount 12366
609e dc94 add r5, r4, r4 // icount 12367
60a0 dbf8 add r6, r3, r7 // icount 12368
60a2 dd4f andn r3, r5, r2 // icount 12369
60a4 df03 andn r0, r7, r0 // icount 12370
60a6 d2c3 srl r0, r2, r6 // icount 12371
60a8 dcda xor r6, r4, r6 // icount 12372
60aa d114 rol r5, r1, r0 // icount 12373
60ac d8f7 andn r5, r0, r7 // icount 12374
60ae f1f0 sle r4, r1, r7 // icount 12375
60b0 f294 sle r5, r2, r4 // icount 12376
60b2 d10c rol r3, r1, r0 // icount 12377
60b4      .rlabel_329:
60b4 7212 bltz r2, .rlabel_330 // icount 12378
60b6 dff1 sub r4, r7, r7 // icount 12379
60b8 fb28 sco r2, r3, r1 // icount 12380
60ba d5ec rol r3, r5, r7 // icount 12381
60bc e724 seq r1, r7, r1 // icount 12382
60be d73c rol r7, r7, r1 // icount 12383
60c0 faa0 sco r0, r2, r5 // icount 12384
60c2 dcd9 sub r6, r4, r6 // icount 12385
60c4 d947 andn r1, r1, r2 // icount 12386
60c6 df92 xor r4, r7, r4 // icount 12387
60c8      .rlabel_330:
60c8 20e2 j .rlabel_331 // icount 12388
60ca d0f1 sll r4, r0, r7 // icount 12389
60cc dbb4 add r5, r3, r5 // icount 12390
60ce d106 ror r1, r1, r0 // icount 12391
60d0 d9be xor r7, r1, r5 // icount 12392
60d2 eb0c slt r3, r3, r0 // icount 12393
60d4 d7ff srl r7, r7, r7 // icount 12394
60d6 da97 andn r5, r2, r4 // icount 12395
60d8 d3d1 sll r4, r3, r6 // icount 12396
60da fdb4 sco r5, r5, r5 // icount 12397
60dc d20e ror r3, r2, r0 // icount 12398
60de d275 sll r5, r2, r3 // icount 12399
60e0 df12 xor r4, r7, r0 // icount 12400
60e2 d514 rol r5, r5, r0 // icount 12401
60e4 d75e ror r7, r7, r2 // icount 12402
60e6 de59 sub r6, r6, r2 // icount 12403
60e8 f840 sco r0, r0, r2 // icount 12404
60ea d55e ror r7, r5, r2 // icount 12405
60ec d0b7 srl r5, r0, r5 // icount 12406
60ee d95e xor r7, r1, r2 // icount 12407
60f0 db9c add r7, r3, r4 // icount 12408
60f2 d669 sll r2, r6, r3 // icount 12409
60f4 fc3c sco r7, r4, r1 // icount 12410
60f6 e608 seq r2, r6, r0 // icount 12411
60f8 f438 sle r6, r4, r1 // icount 12412
60fa d102 ror r0, r1, r0 // icount 12413
60fc de77 andn r5, r6, r3 // icount 12414
60fe dab7 andn r5, r2, r5 // icount 12415
6100 d188 rol r2, r1, r4 // icount 12416
6102 e6cc seq r3, r6, r6 // icount 12417
6104 d4af srl r3, r4, r5 // icount 12418
6106 d0a4 rol r1, r0, r5 // icount 12419
6108 dc42 xor r0, r4, r2 // icount 12420
610a d690 rol r4, r6, r4 // icount 12421
610c d0d9 sll r6, r0, r6 // icount 12422
610e d295 sll r5, r2, r4 // icount 12423
6110 dd96 xor r5, r5, r4 // icount 12424
6112 d467 srl r1, r4, r3 // icount 12425
6114 e1e8 seq r2, r1, r7 // icount 12426
6116 d8c0 add r0, r0, r6 // icount 12427
6118 d855 sub r5, r0, r2 // icount 12428
611a db3d sub r7, r3, r1 // icount 12429
611c deb3 andn r4, r6, r5 // icount 12430
611e d82a xor r2, r0, r1 // icount 12431
6120 d3b4 rol r5, r3, r5 // icount 12432
6122 e02c seq r3, r0, r1 // icount 12433
6124 ea94 slt r5, r2, r4 // icount 12434
6126 d312 ror r4, r3, r0 // icount 12435
6128 fef8 sco r6, r6, r7 // icount 12436
612a fdc8 sco r2, r5, r6 // icount 12437
612c f3a0 sle r0, r3, r5 // icount 12438
612e e614 seq r5, r6, r0 // icount 12439
6130 f680 sle r0, r6, r4 // icount 12440
6132 d7cd sll r3, r7, r6 // icount 12441
6134 da9a xor r6, r2, r4 // icount 12442
6136 d83b andn r6, r0, r1 // icount 12443
6138 d806 xor r1, r0, r0 // icount 12444
613a d6ed sll r3, r6, r7 // icount 12445
613c d4cb srl r2, r4, r6 // icount 12446
613e d6a1 sll r0, r6, r5 // icount 12447
6140 ef90 slt r4, r7, r4 // icount 12448
6142 d68c rol r3, r6, r4 // icount 12449
6144 dd9e xor r7, r5, r4 // icount 12450
6146 dc97 andn r5, r4, r4 // icount 12451
6148 f5a0 sle r0, r5, r5 // icount 12452
614a d363 srl r0, r3, r3 // icount 12453
614c ee88 slt r2, r6, r4 // icount 12454
614e e82c slt r3, r0, r1 // icount 12455
6150 d5de ror r7, r5, r6 // icount 12456
6152 d0f7 srl r5, r0, r7 // icount 12457
6154 f7a8 sle r2, r7, r5 // icount 12458
6156 da73 andn r4, r2, r3 // icount 12459
6158 fb50 sco r4, r3, r2 // icount 12460
615a df3f andn r7, r7, r1 // icount 12461
615c f2bc sle r7, r2, r5 // icount 12462
615e d83f andn r7, r0, r1 // icount 12463
6160 fbe8 sco r2, r3, r7 // icount 12464
6162 d3d5 sll r5, r3, r6 // icount 12465
6164 fe8c sco r3, r6, r4 // icount 12466
6166 e158 seq r6, r1, r2 // icount 12467
6168 e9d8 slt r6, r1, r6 // icount 12468
616a df0a xor r2, r7, r0 // icount 12469
616c e818 slt r6, r0, r0 // icount 12470
616e d3c4 rol r1, r3, r6 // icount 12471
6170 fe5c sco r7, r6, r2 // icount 12472
6172 d596 ror r5, r5, r4 // icount 12473
6174 d099 sll r6, r0, r4 // icount 12474
6176 d581 sll r0, r5, r4 // icount 12475
6178 dccd sub r3, r4, r6 // icount 12476
617a fcac sco r3, r4, r5 // icount 12477
617c dc84 add r1, r4, r4 // icount 12478
617e d815 sub r5, r0, r0 // icount 12479
6180 db75 sub r5, r3, r3 // icount 12480
6182 d39c rol r7, r3, r4 // icount 12481
6184 d735 sll r5, r7, r1 // icount 12482
6186 db26 xor r1, r3, r1 // icount 12483
6188 d774 rol r5, r7, r3 // icount 12484
618a da23 andn r0, r2, r1 // icount 12485
618c d074 rol r5, r0, r3 // icount 12486
618e d93f andn r7, r1, r1 // icount 12487
6190 ddf1 sub r4, r5, r7 // icount 12488
6192 de2d sub r3, r6, r1 // icount 12489
6194 eca4 slt r1, r4, r5 // icount 12490
6196 db8e xor r3, r3, r4 // icount 12491
6198 d734 rol r5, r7, r1 // icount 12492
619a daab andn r2, r2, r5 // icount 12493
619c d8f1 sub r4, r0, r7 // icount 12494
619e d1d6 ror r5, r1, r6 // icount 12495
61a0 dbf3 andn r4, r3, r7 // icount 12496
61a2 edb8 slt r6, r5, r5 // icount 12497
61a4 dde8 add r2, r5, r7 // icount 12498
61a6 dd82 xor r0, r5, r4 // icount 12499
61a8 fd58 sco r6, r5, r2 // icount 12500
61aa e5cc seq r3, r5, r6 // icount 12501
61ac      .rlabel_331:
61ac 20f8 j .rlabel_332 // icount 12502
61ae f230 sle r4, r2, r1 // icount 12503
61b0 ff78 sco r6, r7, r3 // icount 12504
61b2 db17 andn r5, r3, r0 // icount 12505
61b4 d870 add r4, r0, r3 // icount 12506
61b6 f0b8 sle r6, r0, r5 // icount 12507
61b8 eb7c slt r7, r3, r3 // icount 12508
61ba d062 ror r0, r0, r3 // icount 12509
61bc d75e ror r7, r7, r2 // icount 12510
61be dfaf andn r3, r7, r5 // icount 12511
61c0 d2db srl r6, r2, r6 // icount 12512
61c2 fed4 sco r5, r6, r6 // icount 12513
61c4 da56 xor r5, r2, r2 // icount 12514
61c6 debc add r7, r6, r5 // icount 12515
61c8 dbdf andn r7, r3, r6 // icount 12516
61ca f194 sle r5, r1, r4 // icount 12517
61cc dedf andn r7, r6, r6 // icount 12518
61ce d01a ror r6, r0, r0 // icount 12519
61d0 d731 sll r4, r7, r1 // icount 12520
61d2 d31a ror r6, r3, r0 // icount 12521
61d4 f05c sle r7, r0, r2 // icount 12522
61d6 f964 sco r1, r1, r3 // icount 12523
61d8 f7e0 sle r0, r7, r7 // icount 12524
61da d050 rol r4, r0, r2 // icount 12525
61dc d8a5 sub r1, r0, r5 // icount 12526
61de dbfc add r7, r3, r7 // icount 12527
61e0 d2ad sll r3, r2, r5 // icount 12528
61e2 f434 sle r5, r4, r1 // icount 12529
61e4 df32 xor r4, r7, r1 // icount 12530
61e6 df46 xor r1, r7, r2 // icount 12531
61e8 d982 xor r0, r1, r4 // icount 12532
61ea d51a ror r6, r5, r0 // icount 12533
61ec d006 ror r1, r0, r0 // icount 12534
61ee eff8 slt r6, r7, r7 // icount 12535
61f0 f528 sle r2, r5, r1 // icount 12536
61f2 e968 slt r2, r1, r3 // icount 12537
61f4 e478 seq r6, r4, r3 // icount 12538
61f6 f788 sle r2, r7, r4 // icount 12539
61f8 eb9c slt r7, r3, r4 // icount 12540
61fa de56 xor r5, r6, r2 // icount 12541
61fc e9c0 slt r0, r1, r6 // icount 12542
61fe dcdb andn r6, r4, r6 // icount 12543
6200 d81c add r7, r0, r0 // icount 12544
6202 f8e4 sco r1, r0, r7 // icount 12545
6204 dce7 andn r1, r4, r7 // icount 12546
6206 da4f andn r3, r2, r2 // icount 12547
6208 dfcb andn r2, r7, r6 // icount 12548
620a d49a ror r6, r4, r4 // icount 12549
620c d063 srl r0, r0, r3 // icount 12550
620e da93 andn r4, r2, r4 // icount 12551
6210 f0ec sle r3, r0, r7 // icount 12552
6212 def9 sub r6, r6, r7 // icount 12553
6214 e118 seq r6, r1, r0 // icount 12554
6216 f018 sle r6, r0, r0 // icount 12555
6218 de6c add r3, r6, r3 // icount 12556
621a d8c8 add r2, r0, r6 // icount 12557
621c d799 sll r6, r7, r4 // icount 12558
621e d9fd sub r7, r1, r7 // icount 12559
6220 d226 ror r1, r2, r1 // icount 12560
6222 d7f0 rol r4, r7, r7 // icount 12561
6224 f71c sle r7, r7, r0 // icount 12562
6226 de86 xor r1, r6, r4 // icount 12563
6228 d1ca ror r2, r1, r6 // icount 12564
622a dd3e xor r7, r5, r1 // icount 12565
622c da1a xor r6, r2, r0 // icount 12566
622e d632 ror r4, r6, r1 // icount 12567
6230 dc8a xor r2, r4, r4 // icount 12568
6232 e4e4 seq r1, r4, r7 // icount 12569
6234 f720 sle r0, r7, r1 // icount 12570
6236 d310 rol r4, r3, r0 // icount 12571
6238 d3d4 rol r5, r3, r6 // icount 12572
623a e59c seq r7, r5, r4 // icount 12573
623c d456 ror r5, r4, r2 // icount 12574
623e d3ce ror r3, r3, r6 // icount 12575
6240 dc1c add r7, r4, r0 // icount 12576
6242 de37 andn r5, r6, r1 // icount 12577
6244 fa38 sco r6, r2, r1 // icount 12578
6246 ed54 slt r5, r5, r2 // icount 12579
6248 d201 sll r0, r2, r0 // icount 12580
624a da65 sub r1, r2, r3 // icount 12581
624c d1e7 srl r1, r1, r7 // icount 12582
624e ddf5 sub r5, r5, r7 // icount 12583
6250 d4b0 rol r4, r4, r5 // icount 12584
6252 d9a4 add r1, r1, r5 // icount 12585
6254 d5df srl r7, r5, r6 // icount 12586
6256 d95b andn r6, r1, r2 // icount 12587
6258 e64c seq r3, r6, r2 // icount 12588
625a e8cc slt r3, r0, r6 // icount 12589
625c d880 add r0, r0, r4 // icount 12590
625e eee0 slt r0, r6, r7 // icount 12591
6260 e9e8 slt r2, r1, r7 // icount 12592
6262 e528 seq r2, r5, r1 // icount 12593
6264 d1b3 srl r4, r1, r5 // icount 12594
6266 f730 sle r4, r7, r1 // icount 12595
6268 d86f andn r3, r0, r3 // icount 12596
626a db00 add r0, r3, r0 // icount 12597
626c f08c sle r3, r0, r4 // icount 12598
626e d76c rol r3, r7, r3 // icount 12599
6270 dc88 add r2, r4, r4 // icount 12600
6272 db90 add r4, r3, r4 // icount 12601
6274 d960 add r0, r1, r3 // icount 12602
6276 d6b2 ror r4, r6, r5 // icount 12603
6278 e06c seq r3, r0, r3 // icount 12604
627a ddad sub r3, r5, r5 // icount 12605
627c e758 seq r6, r7, r2 // icount 12606
627e d342 ror r0, r3, r2 // icount 12607
6280 d9d8 add r6, r1, r6 // icount 12608
6282 f63c sle r7, r6, r1 // icount 12609
6284 e490 seq r4, r4, r4 // icount 12610
6286 d284 rol r1, r2, r4 // icount 12611
6288 eeb4 slt r5, r6, r5 // icount 12612
628a fd74 sco r5, r5, r3 // icount 12613
628c d5c8 rol r2, r5, r6 // icount 12614
628e e2d0 seq r4, r2, r6 // icount 12615
6290 f294 sle r5, r2, r4 // icount 12616
6292 d1ee ror r3, r1, r7 // icount 12617
6294 d492 ror r4, r4, r4 // icount 12618
6296 d9b5 sub r5, r1, r5 // icount 12619
6298 d317 srl r5, r3, r0 // icount 12620
629a f660 sle r0, r6, r3 // icount 12621
629c f340 sle r0, r3, r2 // icount 12622
629e e6a0 seq r0, r6, r5 // icount 12623
62a0 f214 sle r5, r2, r0 // icount 12624
62a2 fdec sco r3, r5, r7 // icount 12625
62a4 d387 srl r1, r3, r4 // icount 12626
62a6      .rlabel_332:
62a6 20e2 j .rlabel_333 // icount 12627
62a8 d4ec rol r3, r4, r7 // icount 12628
62aa f6b4 sle r5, r6, r5 // icount 12629
62ac f84c sco r3, r0, r2 // icount 12630
62ae d1bc rol r7, r1, r5 // icount 12631
62b0 f5b4 sle r5, r5, r5 // icount 12632
62b2 df9e xor r7, r7, r4 // icount 12633
62b4 e810 slt r4, r0, r0 // icount 12634
62b6 d0fe ror r7, r0, r7 // icount 12635
62b8 de9c add r7, r6, r4 // icount 12636
62ba d903 andn r0, r1, r0 // icount 12637
62bc d0f0 rol r4, r0, r7 // icount 12638
62be da1e xor r7, r2, r0 // icount 12639
62c0 dac6 xor r1, r2, r6 // icount 12640
62c2 d540 rol r0, r5, r2 // icount 12641
62c4 db5b andn r6, r3, r2 // icount 12642
62c6 d0fd sll r7, r0, r7 // icount 12643
62c8 f7c0 sle r0, r7, r6 // icount 12644
62ca edec slt r3, r5, r7 // icount 12645
62cc dabf andn r7, r2, r5 // icount 12646
62ce d945 sub r1, r1, r2 // icount 12647
62d0 dffa xor r6, r7, r7 // icount 12648
62d2 d4fa ror r6, r4, r7 // icount 12649
62d4 dc67 andn r1, r4, r3 // icount 12650
62d6 e424 seq r1, r4, r1 // icount 12651
62d8 d28f srl r3, r2, r4 // icount 12652
62da d4c0 rol r0, r4, r6 // icount 12653
62dc e988 slt r2, r1, r4 // icount 12654
62de d481 sll r0, r4, r4 // icount 12655
62e0 e164 seq r1, r1, r3 // icount 12656
62e2 ef10 slt r4, r7, r0 // icount 12657
62e4 eacc slt r3, r2, r6 // icount 12658
62e6 d26b srl r2, r2, r3 // icount 12659
62e8 d41b srl r6, r4, r0 // icount 12660
62ea dff0 add r4, r7, r7 // icount 12661
62ec fea4 sco r1, r6, r5 // icount 12662
62ee e27c seq r7, r2, r3 // icount 12663
62f0 db8a xor r2, r3, r4 // icount 12664
62f2 df91 sub r4, r7, r4 // icount 12665
62f4 ed44 slt r1, r5, r2 // icount 12666
62f6 e51c seq r7, r5, r0 // icount 12667
62f8 db23 andn r0, r3, r1 // icount 12668
62fa d742 ror r0, r7, r2 // icount 12669
62fc de1c add r7, r6, r0 // icount 12670
62fe fbac sco r3, r3, r5 // icount 12671
6300 d343 srl r0, r3, r2 // icount 12672
6302 f440 sle r0, r4, r2 // icount 12673
6304 f3b0 sle r4, r3, r5 // icount 12674
6306 efb4 slt r5, r7, r5 // icount 12675
6308 de0e xor r3, r6, r0 // icount 12676
630a dca7 andn r1, r4, r5 // icount 12677
630c d0ad sll r3, r0, r5 // icount 12678
630e fff4 sco r5, r7, r7 // icount 12679
6310 d903 andn r0, r1, r0 // icount 12680
6312 d0f6 ror r5, r0, r7 // icount 12681
6314 f094 sle r5, r0, r4 // icount 12682
6316 d734 rol r5, r7, r1 // icount 12683
6318 d456 ror r5, r4, r2 // icount 12684
631a d8d4 add r5, r0, r6 // icount 12685
631c dabf andn r7, r2, r5 // icount 12686
631e da3c add r7, r2, r1 // icount 12687
6320 d262 ror r0, r2, r3 // icount 12688
6322 d022 ror r0, r0, r1 // icount 12689
6324 df74 add r5, r7, r3 // icount 12690
6326 d4ab srl r2, r4, r5 // icount 12691
6328 d028 rol r2, r0, r1 // icount 12692
632a d83f andn r7, r0, r1 // icount 12693
632c d83c add r7, r0, r1 // icount 12694
632e d26a ror r2, r2, r3 // icount 12695
6330 d347 srl r1, r3, r2 // icount 12696
6332 fc60 sco r0, r4, r3 // icount 12697
6334 fbc8 sco r2, r3, r6 // icount 12698
6336 de12 xor r4, r6, r0 // icount 12699
6338 e388 seq r2, r3, r4 // icount 12700
633a d769 sll r2, r7, r3 // icount 12701
633c fee4 sco r1, r6, r7 // icount 12702
633e da77 andn r5, r2, r3 // icount 12703
6340 f314 sle r5, r3, r0 // icount 12704
6342 d36b srl r2, r3, r3 // icount 12705
6344 dbaa xor r2, r3, r5 // icount 12706
6346 df10 add r4, r7, r0 // icount 12707
6348 db96 xor r5, r3, r4 // icount 12708
634a dae9 sub r2, r2, r7 // icount 12709
634c db14 add r5, r3, r0 // icount 12710
634e ece4 slt r1, r4, r7 // icount 12711
6350 f414 sle r5, r4, r0 // icount 12712
6352 e1a4 seq r1, r1, r5 // icount 12713
6354 d5e7 srl r1, r5, r7 // icount 12714
6356 f35c sle r7, r3, r2 // icount 12715
6358 daa0 add r0, r2, r5 // icount 12716
635a ec84 slt r1, r4, r4 // icount 12717
635c ffc0 sco r0, r7, r6 // icount 12718
635e ee8c slt r3, r6, r4 // icount 12719
6360 d3c8 rol r2, r3, r6 // icount 12720
